heatwave,adapted_temp,group_id,sex,replicate,weight
1,25,4,m,3,0.00133
1,25,4,m,4,0.00129
1,25,4,m,5,0.00121
1,25,5,f,1,0.00119
1,25,5,f,2,0.00117
1,25,5,f,3,0.00135
1,25,5,f,4,0.00151
1,25,5,f,5,0.00149
1,25,5,m,1,0.00144
1,25,5,m,2,0.00114
1,25,5,m,3,0.00143
1,25,5,m,4,0.00159
1,25,5,m,5,0.00148
1,25,6,f,1,0.00155
1,25,6,f,2,0.00165
1,25,6,f,3,0.00152
1,25,6,f,4,0.00105
1,25,6,f,5,0.00151
1,25,6,m,1,0.00116
1,25,6,m,2,0.00135
1,25,6,m,3,0.00161
1,25,6,m,4,0.0014
1,25,6,m,5,0.00143
1,25,7,f,1,0.00118
1,25,7,f,2,0.00147
1,25,7,f,3,0.00133
1,25,7,f,4,0.00108
1,25,7,f,5,0.00155
1,25,7,m,1,0.00154
1,25,7,m,2,0.00148
1,25,7,m,3,0.00153
1,25,7,m,4,0.00132
1,25,7,m,5,0.00145
1,25,8,f,1,0.00154
1,25,8,f,2,0.00114
1,25,8,f,3,0.00147
1,25,8,f,4,0.00131
1,25,8,f,5,0.0013
1,25,8,m,1,0.00115
1,25,8,m,2,0.00138
1,25,8,m,3,0.00129
1,25,8,m,4,0.00109
1,25,8,m,5,0.00112
1,25,9,f,1,0.00157
1,25,9,f,2,0.00172
1,25,9,f,3,0.00145
1,25,9,f,4,0.00165
1,25,9,f,5,0.00141
1,25,9,m,1,0.00109
1,25,9,m,2,0.00162
1,25,9,m,3,0.00158
1,25,9,m,4,0.00148
1,25,9,m,5,0.00132
1,25,10,f,1,0.00143
1,25,10,f,2,0.00123
1,25,10,f,3,0.00142
1,25,10,f,4,0.00145
1,25,10,f,5,0.00126
1,25,10,m,1,0.00134
1,25,10,m,2,0.00122
1,25,10,m,3,0.00139
1,25,10,m,4,0.00126
1,25,10,m,5,0.0012
1,30,1,f,1,0.00119
1,30,1,f,2,0.00134
1,30,1,f,3,0.00113
1,30,1,f,4,0.00129
1,30,1,f,5,0.00138
1,30,1,m,1,0.00125
1,30,1,m,2,0.00134
1,30,1,m,3,0.0011
1,30,1,m,4,0.00095
1,30,1,m,5,0.00121
1,30,2,f,1,0.00091
1,30,2,f,2,0.00163
1,30,2,f,3,0.00121
1,30,2,f,4,0.00135
1,30,2,f,5,0.00128
1,30,2,m,1,0.00147
1,30,2,m,2,0.00129
1,30,2,m,3,0.00147
1,30,2,m,4,0.00117
1,30,2,m,5,0.00145
1,30,3,f,1,0.00139
1,30,3,f,2,0.00149
1,30,3,f,3,0.00156
1,30,3,f,4,0.00136
1,30,3,f,5,0.00162
1,30,3,m,1,0.00115
1,30,3,m,2,0.00123
1,30,3,m,3,0.00131
1,30,3,m,4,0.00143
1,30,3,m,5,0.00169
1,30,4,f,1,0.00125
1,30,4,f,2,0.00137
1,30,4,f,3,0.00142
1,30,4,f,4,0.00143
1,30,4,f,5,0.00149
1,30,4,m,1,0.00121
1,30,4,m,2,0.00124
1,30,4,m,3,0.00143
1,30,4,m,4,0.00131
1,30,4,m,5,0.00153
1,30,5,f,1,0.00125
1,30,5,f,2,0.00148
1,30,5,f,3,0.00174
1,30,5,f,4,0.00144
1,30,5,f,5,0.00128
1,30,5,m,1,0.00106
1,30,5,m,2,0.00104
1,30,5,m,3,0.00128
1,30,5,m,4,0.00143
1,30,5,m,5,0.00117
1,30,6,f,1,0.00138
1,30,6,f,2,0.00146
1,30,6,f,3,0.00148
1,30,6,f,4,0.00127
1,30,6,f,5,0.00169
1,30,6,m,1,0.00106
1,30,6,m,2,0.00132
1,30,6,m,3,0.00161
1,30,6,m,4,0.00112
1,30,6,m,5,0.00136
1,30,7,f,1,0.00127
1,30,7,f,2,0.00155
1,30,7,f,3,0.00127
1,30,7,f,4,0.00149
1,30,7,f,5,0.00125
1,30,7,m,1,0.00116
